geo,Name,TIME_PERIOD,GHGperGDP,PriceAdjOil,GDPperCap,OilCperGDP,GDPgrowth,OilDep,SRE,PosSupplyShock,NegSupplyShock,GHG,GDP,Pop,OilCons
AT,Austria,1995,142.19429901187343,25.66,33790.47648315987,44.680062533188824,0,89.325,25.7,0,0,38190000,268576.16842157,7948280,12000000
AT,Austria,1996,144.78705323966875,30.2,34537.72655631296,43.65438791145792,2.349533851697178,90.894,24.1,1,0,39800000,274886.456416226,7959020,12000000
AT,Austria,1997,150.93991224611335,28.56,35220.89216289589,42.75918193940888,2.0935993895242704,90.163,24.9,0,0,42360000,280641.477589641,7968040,12000000
AT,Austria,1998,151.80993150608435,19.2,36442.28366479787,41.28074276168167,3.5814258146041773,93.634,24.5,1,1,44130000,290692.443914523,7976790,12000000
AT,Austria,1999,148.6892869295868,27.19,37664.96212977984,39.86307960578735,3.556331246641825,91.018,26.5,0,1,44760000,301030.43012908194,7992320,12000000
AT,Austria,2000,150.9034374325258,44.3,38842.871126185506,41.77480167425118,3.375722147084803,89.043,26.4,1,1,46960000,311192.381028414,8011570,13000000
AT,Austria,2001,151.52202114418992,37.6,39184.82321429754,41.252068583758515,1.2671681892298456,89.096,25.5,0,1,47750000,315135.711888113,8042290,13000000
AT,Austria,2002,151.214170452645,38.46,39635.68322383286,40.581837652443944,1.6515539218668203,93.789,24.7,0,1,48440000,320340.34809700405,8082120,13000000
AT,Austria,2003,153.1128548550705,40.55,39830.783644466115,43.295899171298466,0.9414709207251242,93.57,22.6,1,1,49510000,323356.259321687,8118250,14000000
AT,Austria,2004,175.37604613405585,48.64,40663.79602039111,51.17392352006436,2.7351202224103024,94.849,23.2,1,1,58260000,332200.44176082395,8169440,17000000
AT,Austria,2005,179.03448388994497,65.99,41294.063750130816,50.094914379006966,2.2440653246389517,92.053,24.4,1,0,60810000,339655.236682676,8225280.000000001,17015000
AT,Austria,2006,176.95585635480776,77.06,42499.90271546635,50.790144232297436,3.4540418361411978,95.69,26.6,0,0,62180000,351387.07065634005,8267950.000000001,17847000
